name,version,latestVersion,repository,published,publisher,size,license,isProd,isDev,isOptional,isPeer,isBundled,parents
"psilly-site","0.0.42","-","-","-","-","-","-",false,false,false,false,false,""
"@ampproject/remapping","2.2.0","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.20.12"
"@babel/code-frame","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.20.12,@babel/template@7.20.7,@babel/traverse@7.20.13,jest-message-util@29.4.3,parse-json@5.2.0"
"@babel/compat-data","7.20.14","-","-","-","-","-","-",false,true,false,false,false,"@babel/helper-compilation-targets@7.20.7"
"@babel/core","7.20.12","-","-","-","-","-","-",false,true,false,true,false,"@jest/transform@29.4.3,eslint-config-preact@1.3.0,istanbul-lib-instrument@5.2.1,jest-config@29.4.3,jest-snapshot@29.4.3,@babel/eslint-parser@7.19.1,@babel/helper-compilation-targets@7.20.7,@babel/plugin-syntax-async-generators@7.8.4,@babel/plugin-syntax-bigint@7.8.3,@babel/plugin-syntax-class-properties@7.12.13,@babel/plugin-syntax-decorators@7.19.0,@babel/plugin-syntax-import-meta@7.10.4,@babel/plugin-syntax-json-strings@7.8.3,@babel/plugin-syntax-jsx@7.18.6,@babel/plugin-syntax-logical-assignment-operators@7.10.4,@babel/plugin-syntax-nullish-coalescing-operator@7.8.3,@babel/plugin-syntax-numeric-separator@7.10.4,@babel/plugin-syntax-object-rest-spread@7.8.3,@babel/plugin-syntax-optional-catch-binding@7.8.3,@babel/plugin-syntax-optional-chaining@7.8.3,@babel/plugin-syntax-top-level-await@7.14.5,@babel/plugin-syntax-typescript@7.20.0,babel-jest@29.4.3,babel-preset-current-node-syntax@1.0.1,babel-preset-jest@29.4.3,ts-jest@29.0.5"
"@babel/eslint-parser","7.19.1","-","-","-","-","-","-",false,true,false,false,false,"eslint-config-preact@1.3.0"
"@babel/generator","7.20.14","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.20.12,@babel/traverse@7.20.13,jest-snapshot@29.4.3"
"@babel/helper-compilation-targets","7.20.7","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.20.12"
"@babel/helper-environment-visitor","7.18.9","-","-","-","-","-","-",false,true,false,false,false,"@babel/helper-module-transforms@7.20.11,@babel/traverse@7.20.13"
"@babel/helper-function-name","7.19.0","-","-","-","-","-","-",false,true,false,false,false,"@babel/traverse@7.20.13"
